date,ticker,close,momentum_5d,daily_return,rolling_mean_return_20d,sector_Communication Services,sector_Consumer Discretionary,sector_Consumer Staples,sector_Energy,sector_Financials,sector_Health Care,sector_Industrials,sector_Information Technology,sector_Materials,sector_Real Estate,sector_Utilities
2021-08-30 13:30:00,XLC,85.30000305175781,,,,1,0,0,0,0,0,0,0,0,0,0
2021-08-31 13:30:00,XLC,85.62000274658203,,0.0037514617042868625,,1,0,0,0,0,0,0,0,0,0,0
2021-09-01 13:30:00,XLC,86.05000305175781,,0.005022194480050368,,1,0,0,0,0,0,0,0,0,0,0
2021-09-02 13:30:00,XLC,85.47000122070312,,-0.006740288326379518,,1,0,0,0,0,0,0,0,0,0,0
2021-09-03 13:30:00,XLC,85.47000122070312,,0.0,,1,0,0,0,0,0,0,0,0,0,0
2021-09-07 13:30:00,XLC,85.66999816894531,0.004337574489452267,0.0023399666009802367,,1,0,0,0,0,0,0,0,0,0,0
2021-09-08 13:30:00,XLC,85.2300033569336,-0.004555003236834221,-0.00513592647853256,,1,0,0,0,0,0,0,0,0,0,0
2021-09-09 13:30:00,XLC,84.80999755859375,-0.014410289938260878,-0.0049279101466288555,,1,0,0,0,0,0,0,0,0,0,0
2021-09-10 13:30:00,XLC,84.26000213623047,-0.014157003243139843,-0.006485030517578982,,1,0,0,0,0,0,0,0,0,0,0
2021-09-13 13:30:00,XLC,84.47000122070312,-0.011700011532909338,0.002492274853413079,,1,0,0,0,0,0,0,0,0,0,0
2021-09-14 13:30:00,XLC,83.73999786376953,-0.022528310335313995,-0.00864216107948479,,1,0,0,0,0,0,0,0,0,0,0
2021-09-15 13:30:00,XLC,84.1500015258789,-0.012671615493569321,0.004896150854653447,,1,0,0,0,0,0,0,0,0,0,0
2021-09-16 13:30:00,XLC,84.06999969482422,-0.008725361220041083,-0.000950705045799527,,1,0,0,0,0,0,0,0,0,0,0
2021-09-17 13:30:00,XLC,83.13999938964844,-0.013292223097398304,-0.011062213733218806,,1,0,0,0,0,0,0,0,0,0,0
2021-09-20 13:30:00,XLC,81.33000183105469,-0.037172953051631374,-0.02177047837240076,,1,0,0,0,0,0,0,0,0,0,0
2021-09-21 13:30:00,XLC,80.98999786376953,-0.032839742896504154,-0.004180547886761921,,1,0,0,0,0,0,0,0,0,0,0
2021-09-22 13:30:00,XLC,80.94999694824219,-0.038027385853969475,-0.0004938994515671924,,1,0,0,0,0,0,0,0,0,0,0
2021-09-23 13:30:00,XLC,81.77999877929688,-0.02723921641299032,0.010253265748550566,,1,0,0,0,0,0,0,0,0,0,0
2021-09-24 13:30:00,XLC,82.44999694824219,-0.008299283695835102,0.00819268988684474,,1,0,0,0,0,0,0,0,0,0,0
2021-09-27 13:30:00,XLC,82.44000244140625,0.013648107529338871,-0.0001212190079546982,,1,0,0,0,0,0,0,0,0,0,0
2021-09-28 13:30:00,XLC,80.43000030517578,-0.006914403918564127,-0.02438139345834045,-0.002897188468793438,1,0,0,0,0,0,0,0,0,0,0
2021-09-29 13:30:00,XLC,80.36000061035156,-0.007288404695899531,-0.0008703182215419325,-0.0031282774650848778,1,0,0,0,0,0,0,0,0,0,0
2021-09-30 13:30:00,XLC,80.11000061035156,-0.020420618658263945,-0.0031110004741313757,-0.003534937212793965,1,0,0,0,0,0,0,0,0,0,0
2021-10-01 13:30:00,XLC,81.45999908447266,-0.012007251672683461,0.016851809559799813,-0.0023553323184849983,1,0,0,0,0,0,0,0,0,0,0
2021-10-04 13:30:00,XLC,79.69999694824219,-0.03323635870961439,-0.021605722514253634,-0.00343561844419768,1,0,0,0,0,0,0,0,0,0,0
2021-10-05 13:30:00,XLC,80.88999938964844,0.0057192475783574,0.014931022421231122,-0.0028060656531851357,1,0,0,0,0,0,0,0,0,0,0
2021-10-06 13:30:00,XLC,81.02999877929688,0.008337458485023985,0.0017307379244009269,-0.0024627324330384615,1,0,0,0,0,0,0,0,0,0,0
2021-10-07 13:30:00,XLC,81.37999725341797,0.01585315982262392,0.0043193691150655855,-0.0020003684699537393,1,0,0,0,0,0,0,0,0,0,0
2021-10-08 13:30:00,XLC,80.9800033569336,-0.0058924101759603165,-0.004915137748638498,-0.0019218738315067152,1,0,0,0,0,0,0,0,0,0,0
2021-10-11 13:30:00,XLC,79.76000213623047,0.0007528882093590372,-0.01506546270843867,-0.0027997607095993026,1,0,0,0,0,0,0,0,0,0,0
2021-10-12 13:30:00,XLC,79.0199966430664,-0.023117848444703215,-0.009277902123173587,-0.0028315477617837427,1,0,0,0,0,0,0,0,0,0,0
2021-10-13 13:30:00,XLC,79.38999938964844,-0.020239410272180014,0.004682393853461253,-0.0028422356118433523,1,0,0,0,0,0,0,0,0,0,0
2021-10-14 13:30:00,XLC,80.51000213623047,-0.010690527728556276,0.014107604927479978,-0.002089320113179377,1,0,0,0,0,0,0,0,0,0,0
2021-10-15 13:30:00,XLC,80.31999969482422,-0.008150205418000489,-0.0023599855466994724,-0.0016542087038534103,1,0,0,0,0,0,0,0,0,0,0
2021-10-18 13:30:00,XLC,80.94000244140625,0.014794386579382701,0.007719157730798454,-0.00017972689869344972,1,0,0,0,0,0,0,0,0,0,0
2021-10-19 13:30:00,XLC,81.72000122070312,0.03416862430193013,0.009636752604023302,0.0005111381258458114,1,0,0,0,0,0,0,0,0,0,0
2021-10-20 13:30:00,XLC,81.87999725341797,0.03136412498945296,0.001957856465062191,0.0006337259216772806,1,0,0,0,0,0,0,0,0,0,0
2021-10-21 13:30:00,XLC,82.12000274658203,0.01999752288699841,0.002931185896614563,0.0002676219290804804,1,0,0,0,0,0,0,0,0,0,0
2021-10-22 13:30:00,XLC,80.37999725341797,0.000746981559035298,-0.021188570810617535,-0.0012014411057926333,1,0,0,0,0,0,0,0,0,0,0
2021-10-25 13:30:00,XLC,80.7300033569336,-0.002594503065708187,0.004354393076329011,-0.0009776605015784478,1,0,0,0,0,0,0,0,0,0,0
2021-10-26 13:30:00,XLC,80.01000213623047,-0.020925098616364712,-0.008918632364224854,-0.00020452244687266808,1,0,0,0,0,0,0,0,0,0,0
2021-10-27 13:30:00,XLC,79.79000091552734,-0.025525114899822232,-0.0027496714764303487,-0.0002984901096170889,1,0,0,0,0,0,0,0,0,0,0
2021-10-28 13:30:00,XLC,80.05000305175781,-0.025207009566379668,0.003258580439242431,1.9988936051601457e-05,1,0,0,0,0,0,0,0,0,0,0
2021-10-29 13:30:00,XLC,80.30000305175781,-0.000995200353241521,0.0031230479758801444,-0.0006664491431443819,1,0,0,0,0,0,0,0,0,0,0
2021-11-01 13:30:00,XLC,80.43000030517578,-0.003716128320116696,0.0016188947506536877,0.0004947817201009841,1,0,0,0,0,0,0,0,0,0,0
2021-11-02 13:30:00,XLC,80.44000244140625,0.005374331879702154,0.0001243582766694562,-0.0002455514871270992,1,0,0,0,0,0,0,0,0,0,0
2021-11-03 13:30:00,XLC,80.7300033569336,0.011780955390656267,0.00360518282851352,-0.0001518292419214695,1,0,0,0,0,0,0,0,0,0,0
2021-11-04 13:30:00,XLC,81.05000305175781,0.012492191903521022,0.00396382610575885,-0.0001696063923868063,1,0,0,0,0,0,0,0,0,0,0
2021-11-05 13:30:00,XLC,81.69999694824219,0.017434543502844013,0.00801966529315612,0.0004771337597029246,1,0,0,0,0,0,0,0,0,0,0
2021-11-08 14:30:00,XLC,81.33999633789062,0.011314136880045345,-0.004406372384317514,0.0010100882759089824,1,0,0,0,0,0,0,0,0,0,0
2021-11-09 14:30:00,XLC,81.13999938964844,0.008702100037255356,-0.00245877744340417,0.0013510445098974533,1,0,0,0,0,0,0,0,0,0,0
2021-11-10 14:30:00,XLC,80.22000122070312,-0.006317380342170775,-0.011338404928096235,0.0005500045708195789,1,0,0,0,0,0,0,0,0,0,0
2021-11-11 14:30:00,XLC,80.05999755859375,-0.01221474960996427,-0.0019945607039966173,-0.0002551037107542509,1,0,0,0,0,0,0,0,0,0,0
2021-11-12 14:30:00,XLC,81.2300033569336,-0.005752675751093839,0.014614112340979535,0.0005936011836296995,1,0,0,0,0,0,0,0,0,0,0
2021-11-15 14:30:00,XLC,81.45999908447266,0.001475322743850871,0.0028314134929730006,0.00034921397173842683,1,0,0,0,0,0,0,0,0,0,0
2021-11-16 14:30:00,XLC,80.8499984741211,-0.0035740808196794704,-0.007488345411335029,-0.0005070409290294897,1,0,0,0,0,0,0,0,0,0,0
2021-11-17 14:30:00,XLC,80.54000091552734,0.003989026302104293,-0.003834230852743592,-0.0007966452949197788,1,0,0,0,0,0,0,0,0,0,0
2021-11-18 14:30:00,XLC,79.95999908447266,-0.0012490441814954067,-0.0072014132662229224,-0.0013032752530616532,1,0,0,0,0,0,0,0,0,0,0
2021-11-19 14:30:00,XLC,79.69000244140625,-0.018958523352023193,-0.003376646400172767,-0.00041267903253941474,1,0,0,0,0,0,0,0,0,0,0
2021-11-22 14:30:00,XLC,78.72000122070312,-0.033636114590772315,-0.012172182092933692,-0.0012390077910025498,1,0,0,0,0,0,0,0,0,0,0
2021-11-23 14:30:00,XLC,78.51000213623047,-0.028942441336466174,-0.0026676712552873294,-0.0009264597355556736,1,0,0,0,0,0,0,0,0,0,0
2021-11-24 14:30:00,XLC,78.62000274658203,-0.023839063162652052,0.0014011031379248529,-0.0007189210048379136,1,0,0,0,0,0,0,0,0,0,0
2021-11-26 14:30:00,XLC,77.18000030517578,-0.03476736882350362,-0.0183159805532932,-0.001797649054464695,1,0,0,0,0,0,0,0,0,0,0
2021-11-29 14:30:00,XLC,77.83999633789062,-0.02321503384161494,0.008551386759590107,-0.001526232115279197,1,0,0,0,0,0,0,0,0,0,0
2021-11-30 14:30:00,XLC,75.37000274658203,-0.04255587426540908,-0.031731676612454573,-0.00319376068343461,1,0,0,0,0,0,0,0,0,0,0
2021-12-01 14:30:00,XLC,73.62999725341797,-0.06215774742108304,-0.023086180572588266,-0.004354287625897496,1,0,0,0,0,0,0,0,0,0,0
2021-12-02 14:30:00,XLC,74.87000274658203,-0.047697785156373906,0.01684103679776383,-0.0036924949274349805,1,0,0,0,0,0,0,0,0,0,0
2021-12-03 14:30:00,XLC,74.69999694824219,-0.032132720227098566,-0.002270679739591719,-0.004004220219702509,1,0,0,0,0,0,0,0,0,0,0
2021-12-06 14:30:00,XLC,75.93000030517578,-0.02453746303409199,0.016465909065375595,-0.003581908031091535,1,0,0,0,0,0,0,0,0,0,0
2021-12-07 14:30:00,XLC,76.70999908447266,0.01777890790844361,0.010272603399998914,-0.0028479592418757136,1,0,0,0,0,0,0,0,0,0,0
2021-12-08 14:30:00,XLC,77.2699966430664,0.049436364599069194,0.00730018987455705,-0.002360010875977653,1,0,0,0,0,0,0,0,0,0,0
2021-12-09 14:30:00,XLC,76.66000366210938,0.023908118737301143,-0.007894305777891741,-0.002187805918467428,1,0,0,0,0,0,0,0,0,0,0
2021-12-10 14:30:00,XLC,76.69999694824219,0.026773762807323243,0.0005216968982819647,-0.002061993038353499,1,0,0,0,0,0,0,0,0,0,0
2021-12-13 14:30:00,XLC,76.30000305175781,0.00487294541149641,-0.005215044490214149,-0.003053450879913183,1,0,0,0,0,0,0,0,0,0,0
2021-12-14 14:30:00,XLC,76.0999984741211,-0.007952035166625793,-0.0026212918694256127,-0.0033260861480331138,1,0,0,0,0,0,0,0,0,0,0
2021-12-15 14:30:00,XLC,76.9000015258789,-0.0047883413130793695,0.010512523886972991,-0.002426042683117713,1,0,0,0,0,0,0,0,0,0,0
2021-12-16 14:30:00,XLC,76.79000091552734,0.0016957637256442837,-0.00143043703730672,-0.0023058529923458693,1,0,0,0,0,0,0,0,0,0,0
2021-12-17 14:30:00,XLC,76.4800033569336,-0.0028682346813787563,-0.004036952140875294,-0.002147629936078488,1,0,0,0,0,0,0,0,0,0,0
2021-12-20 14:30:00,XLC,75.79000091552734,-0.006684169276959362,-0.009021998053347247,-0.002429897518737212,1,0,0,0,0,0,0,0,0,0,0
2021-12-21 14:30:00,XLC,77.2300033569336,0.01484894750946375,0.01899990003973251,-0.0008712934121039018,1,0,0,0,0,0,0,0,0,0,0
2021-12-22 14:30:00,XLC,77.41999816894531,0.006761984821175959,0.0024601165836237726,-0.0006149040201583467,1,0,0,0,0,0,0,0,0,0,0
2021-12-23 14:30:00,XLC,78.11000061035156,0.0171897340680629,0.008912457475141355,-0.00023933630329752152,1,0,0,0,0,0,0,0,0,0,0
2021-12-27 14:30:00,XLC,78.87000274658203,0.031249990647807202,0.009729895407653455,0.001162957494749811,1,0,0,0,0,0,0,0,0,0,0
2021-12-28 14:30:00,XLC,78.83000183105469,0.040110844158922854,-0.0005071752774736815,0.0007100293928966217,1,0,0,0,0,0,0,0,0,0,0
2021-12-29 14:30:00,XLC,78.44000244140625,0.01566747419238612,-0.004947347210320641,0.0020492458630033184,1,0,0,0,0,0,0,0,0,0,0
2021-12-30 14:30:00,XLC,78.7699966430664,0.017437335392015196,0.004206963174263834,0.0034139030503459234,1,0,0,0,0,0,0,0,0,0,0
2021-12-31 14:30:00,XLC,77.68000030517578,-0.005505060834921971,-0.013837709589220482,0.0018799657309967078,1,0,0,0,0,0,0,0,0,0,0
2022-01-03 14:30:00,XLC,78.22000122070312,-0.008241428974808507,0.006951608051054103,0.002341080120528999,1,0,0,0,0,0,0,0,0,0,0
2022-01-04 14:30:00,XLC,78.05000305175781,-0.009894694420641281,-0.002173333754695972,0.0014091179795254205,1,0,0,0,0,0,0,0,0,0,0
2022-01-05 14:30:00,XLC,76.08999633789062,-0.029959281366303547,-0.02511219266150999,-0.00036012182355002476,1,0,0,0,0,0,0,0,0,0,0
2022-01-06 14:30:00,XLC,76.43000030517578,-0.02970669591994457,0.004468445047300484,-0.000501709064912853,1,0,0,0,0,0,0,0,0,0,0
2022-01-07 14:30:00,XLC,76.44000244140625,-0.015962897256668884,0.00013086662554662176,-0.00010045044474093489,1,0,0,0,0,0,0,0,0,0,0
2022-01-10 14:30:00,XLC,75.95999908447266,-0.028892893134247255,-0.006279478566232788,-0.00044050921796667255,1,0,0,0,0,0,0,0,0,0,0
2022-01-11 14:30:00,XLC,76.91000366210938,-0.014606013389806827,0.012506642826314973,0.0004455751478597836,1,0,0,0,0,0,0,0,0,0,0
2022-01-12 14:30:00,XLC,77.01000213623047,0.01209102171926002,0.0013002011358680399,0.0006416497981244663,1,0,0,0,0,0,0,0,0,0,0
2022-01-13 14:30:00,XLC,76.20999908447266,-0.0028784668301018446,-0.010388300604674772,-0.00040339142645792194,1,0,0,0,0,0,0,0,0,0,0
2022-01-14 14:30:00,XLC,76.55999755859375,0.0015697947848638538,0.004592553186270942,-0.00010224191527903881,1,0,0,0,0,0,0,0,0,0,0
2022-01-18 14:30:00,XLC,75.62999725341797,-0.00434441594302426,-0.01214733979666105,-0.0005077612980683266,1,0,0,0,0,0,0,0,0,0,0
2022-01-19 14:30:00,XLC,75.5,-0.01833316337240054,-0.0017188583649206945,-0.000142604313646999,1,0,0,0,0,0,0,0,0,0,0
2022-01-20 14:30:00,XLC,74.75,-0.0293468649985561,-0.009933774834437137,-0.0015892880573554814,1,0,0,0,0,0,0,0,0,0,0
2022-01-21 14:30:00,XLC,72.22000122070312,-0.05235530654379017,-0.03384613751567722,-0.003404600762320531,1,0,0,0,0,0,0,0,0,0,0
2022-01-24 14:30:00,XLC,72.75,-0.0497648599802768,0.007338670317620366,-0.0034832901201965806,1,0,0,0,0,0,0,0,0,0,0
2022-01-25 14:30:00,XLC,71.26000213623047,-0.05778124125199546,-0.020481070292364678,-0.004993838405197487,1,0,0,0,0,0,0,0,0,0,0
2022-01-26 14:30:00,XLC,70.22000122070312,-0.06993375866618379,-0.014594455295400266,-0.005698202406093816,1,0,0,0,0,0,0,0,0,0,0
2022-01-27 14:30:00,XLC,70.30000305175781,-0.05953173174905935,0.001139302615550175,-0.005393869914800275,1,0,0,0,0,0,0,0,0,0,0
2022-01-28 14:30:00,XLC,72.30999755859375,0.0012461414617759292,0.028591670264311198,-0.004174634560297907,1,0,0,0,0,0,0,0,0,0,0
2022-01-31 14:30:00,XLC,73.94999694824219,0.016494803412263837,0.02268011955496929,-0.002348743103088419,1,0,0,0,0,0,0,0,0,0,0
2022-02-01 14:30:00,XLC,74.58999633789062,0.04673020069932199,0.008654488384852499,-0.002263599086398499,1,0,0,0,0,0,0,0,0,0,0
2022-02-02 14:30:00,XLC,76.08000183105469,0.08345201521619794,0.019975942704359095,-0.0011561352634457457,1,0,0,0,0,0,0,0,0,0,0
2022-02-03 14:30:00,XLC,70.98999786376953,0.009815004012214912,-0.06690331026263852,-0.0032456911435021717,1,0,0,0,0,0,0,0,0,0,0
2022-02-04 14:30:00,XLC,71.16999816894531,-0.015765446385538562,0.0025355727650704374,-0.0033423347576136742,1,0,0,0,0,0,0,0,0,0,0
2022-02-07 14:30:00,XLC,69.93000030517578,-0.05436101161545703,-0.017423041951272644,-0.004220030186454638,1,0,0,0,0,0,0,0,0,0,0
2022-02-08 14:30:00,XLC,69.9000015258789,-0.06287699480190578,-0.0004289829710562021,-0.0039275054066958085,1,0,0,0,0,0,0,0,0,0,0
2022-02-09 14:30:00,XLC,71.87000274658203,-0.055336474541910374,0.02818313558940022,-0.0031436807685415458,1,0,0,0,0,0,0,0,0,0,0
2022-02-10 14:30:00,XLC,70.83999633789062,-0.0021129952161255128,-0.014331520374686324,-0.003925266844069264,1,0,0,0,0,0,0,0,0,0,0
2022-02-11 14:30:00,XLC,69.30999755859375,-0.026134616526703347,-0.02159795113482399,-0.0044857493705767245,1,0,0,0,0,0,0,0,0,0,0
2022-02-14 14:30:00,XLC,69.31999969482422,-0.00872301741297743,0.00014431015124505286,-0.004708161522328019,1,0,0,0,0,0,0,0,0,0,0
2022-02-15 14:30:00,XLC,70.29000091552734,0.005579390288053876,0.013993093262745004,-0.0034011398693577165,1,0,0,0,0,0,0,0,0,0,0
2022-02-16 14:30:00,XLC,69.80000305175781,-0.02880199827072727,-0.006971089164707789,-0.0036637514093470712,1,0,0,0,0,0,0,0,0,0,0
2022-02-17 14:30:00,XLC,67.94000244140625,-0.040937239503120004,-0.026647572049135038,-0.004499441270081966,1,0,0,0,0,0,0,0,0,0,0
2022-02-18 14:30:00,XLC,67.41000366210938,-0.027412984611320246,-0.007800982635435827,-0.0031971835260698966,1,0,0,0,0,0,0,0,0,0,0
2022-02-22 14:30:00,XLC,66.72000122070312,-0.037507191078583135,-0.010235905710150428,-0.004075912327458436,1,0,0,0,0,0,0,0,0,0,0
2022-02-23 14:30:00,XLC,65.5999984741211,-0.06672360763008911,-0.01678661160207673,-0.003891189392944039,1,0,0,0,0,0,0,0,0,0,0
2022-02-24 14:30:00,XLC,67.44000244140625,-0.03381089551817906,0.028048841617138498,-0.0017590245473171006,1,0,0,0,0,0,0,0,0,0,0
2022-02-25 14:30:00,XLC,68.52999877929688,0.008684078844410692,0.01616245994115495,-0.001007866681036862,1,0,0,0,0,0,0,0,0,0,0
2022-02-28 14:30:00,XLC,68.44999694824219,0.015427877609171192,-0.001167398693706967,-0.0024958201289377703,1,0,0,0,0,0,0,0,0,0,0
2022-03-01 14:30:00,XLC,67.58999633789062,0.013039494923113626,-0.012563924743515198,-0.004258022343861995,1,0,0,0,0,0,0,0,0,0,0
2022-03-02 14:30:00,XLC,68.16999816894531,0.03917682552748958,0.008581178613402907,-0.004261687832434474,1,0,0,0,0,0,0,0,0,0,0
2022-03-03 14:30:00,XLC,67.45999908447266,0.0002965101177714313,-0.01041512547371748,-0.005781241241338303,1,0,0,0,0,0,0,0,0,0,0
2022-03-04 14:30:00,XLC,66.48999786376953,-0.029767998713924326,-0.01437890948513798,-0.0031550212024632762,1,0,0,0,0,0,0,0,0,0,0
2022-03-07 14:30:00,XLC,64.27999877929688,-0.060920355805105686,-0.03323806821291664,-0.00494370325136263,1,0,0,0,0,0,0,0,0,0,0
2022-03-08 14:30:00,XLC,64.12000274658203,-0.05133886343123428,-0.0024890484715810457,-0.00419700357737805,1,0,0,0,0,0,0,0,0,0,0
2022-03-09 14:30:00,XLC,66.04000091552734,-0.031245376421152438,0.029943825432035887,-0.0026783631572234456,1,0,0,0,0,0,0,0,0,0,0
2022-03-10 14:30:00,XLC,65.55000305175781,-0.028313015989270496,-0.007419713158337116,-0.004458505594610312,1,0,0,0,0,0,0,0,0,0,0
2022-03-11 14:30:00,XLC,64.37000274658203,-0.0318844214964652,-0.018001529370548774,-0.004642006044403435,1,0,0,0,0,0,0,0,0,0,0
2022-03-14 13:30:00,XLC,63.619998931884766,-0.010267577161570784,-0.011651449164138628,-0.004144680945869167,1,0,0,0,0,0,0,0,0,0,0
